@gt=  0.000000  | lt=  0.000000 | input=0.4911
@gt=865755.342438  | lt=865764.000000 | input=21.24
@gt=865755.342438  | lt=865764.000000 | input=13.7011
@gt=865919.340820  | lt=865928.000000 | input=0.4911
@gt=865919.340820  | lt=865928.000000 | input=0.4911
@gt=886737.132629  | lt=886746.000000 | input=11.6011
@gt=886802.131989  | lt=886811.000000 | input=8.03
@gt=886868.131317  | lt=886877.000000 | input=21.24
@gt=886868.131317  | lt=886877.000000 | input=13.7011
@gt=887032.129669  | lt=887041.000000 | input=0.4911
@gt=887032.129669  | lt=887041.000000 | input=0.4911
@gt=907849.921509  | lt=907859.000000 | input=11.6011
@gt=907914.920837  | lt=907924.000000 | input=8.03
@gt=907980.920197  | lt=907990.000000 | input=21.24
@gt=907980.920197  | lt=907990.000000 | input=13.7011
@gt=908144.918549  | lt=908154.000000 | input=0.4911
@gt=908144.918549  | lt=908154.000000 | input=0.4911
@gt=928962.710358  | lt=928972.000000 | input=11.6011
@gt=929027.709717  | lt=929037.000000 | input=8.03
@gt=929093.709076  | lt=929103.000000 | input=21.24
@gt=929093.709076  | lt=929103.000000 | input=13.7011
@gt=929257.707428  | lt=929267.000000 | input=0.4911
@gt=929257.707428  | lt=929267.000000 | input=0.4911
@gt=950075.499237  | lt=950085.000000 | input=11.6011
@gt=950140.498596  | lt=950150.000000 | input=8.03
@gt=950206.497925  | lt=950216.000000 | input=21.24
@gt=950206.497925  | lt=950216.000000 | input=13.7011
@gt=950370.496307  | lt=950380.000000 | input=0.4911
@gt=950370.496307  | lt=950380.000000 | input=0.4911
@gt=971188.288116  | lt=971198.000000 | input=11.6011
@gt=971253.287476  | lt=971263.000000 | input=8.03
@gt=971319.286804  | lt=971329.000000 | input=21.24
@gt=971319.286804  | lt=971329.000000 | input=13.7011
@gt=971483.285156  | lt=971493.000000 | input=0.4911
@gt=971483.285156  | lt=971493.000000 | input=0.4911
@gt=992301.076996  | lt=992311.000000 | input=11.6011
@gt=992366.076324  | lt=992376.000000 | input=8.03
@gt=992432.075684  | lt=992442.000000 | input=21.24
@gt=992432.075684  | lt=992442.000000 | input=13.7011
@gt=992596.074036  | lt=992606.000000 | input=0.4911
@gt=992596.074036  | lt=992606.000000 | input=0.4911
@gt=1013413.865875  | lt=1013424.000000 | input=11.6011
@gt=1013478.865204  | lt=1013489.000000 | input=8.03
@gt=1013544.864563  | lt=1013555.000000 | input=21.24
@gt=1013544.864563  | lt=1013555.000000 | input=13.7011
@gt=1013708.862915  | lt=1013719.000000 | input=0.4911
@gt=1013708.862915  | lt=1013719.000000 | input=0.4911
@gt=1034526.654724  | lt=1034537.000000 | input=11.6011
@gt=1034591.654083  | lt=1034602.000000 | input=8.03
@gt=1034657.653412  | lt=1034668.000000 | input=21.24
@gt=1034657.653412  | lt=1034668.000000 | input=13.7011
@gt=1034821.651794  | lt=1034832.000000 | input=0.4911
@gt=1034821.651794  | lt=1034832.000000 | input=0.4911
@gt=1055639.443604  | lt=1055650.000000 | input=11.6011
@gt=1055704.442963  | lt=1055715.000000 | input=8.03
@gt=1055770.442291  | lt=1055781.000000 | input=21.24
@gt=1055770.442291  | lt=1055781.000000 | input=13.7011
@gt=1055934.440643  | lt=1055945.000000 | input=0.4911
@gt=1055934.440643  | lt=1055945.000000 | input=0.4911
@gt=1076752.232483  | lt=1076763.000000 | input=11.6011
@gt=1076817.231842  | lt=1076828.000000 | input=8.03
@gt=1076883.231171  | lt=1076894.000000 | input=21.24
@gt=1076883.231171  | lt=1076894.000000 | input=13.7011
@gt=1077047.229523  | lt=1077058.000000 | input=0.4911
@gt=1077047.229523  | lt=1077058.000000 | input=0.4911
@gt=1097865.021362  | lt=1097876.000000 | input=11.6011
@gt=1097930.020691  | lt=1097941.000000 | input=8.03
@gt=1097996.020050  | lt=1098007.000000 | input=21.24
@gt=1097996.020050  | lt=1098007.000000 | input=13.7011
@gt=1098160.018402  | lt=1098171.000000 | input=0.4911
@gt=1098160.018402  | lt=1098171.000000 | input=0.4911
@gt=1118977.810211  | lt=1118989.000000 | input=11.6011
@gt=1119042.809570  | lt=1119054.000000 | input=8.03
@gt=1119108.808899  | lt=1119120.000000 | input=21.24
@gt=1119108.808899  | lt=1119120.000000 | input=13.7011
@gt=1119272.807281  | lt=1119284.000000 | input=0.4911
@gt=1119272.807281  | lt=1119284.000000 | input=0.4911
@gt=1140090.599091  | lt=1140102.000000 | input=11.6011
@gt=1140155.598450  | lt=1140167.000000 | input=8.03
@gt=1140221.597778  | lt=1140233.000000 | input=21.24
@gt=1140221.597778  | lt=1140233.000000 | input=13.7011
@gt=1140385.596130  | lt=1140397.000000 | input=0.4911
@gt=1140385.596130  | lt=1140397.000000 | input=0.4911
@gt=1161203.387970  | lt=1161215.000000 | input=11.6011
@gt=1161268.387329  | lt=1161280.000000 | input=8.03
